|    Run | Delivered LS | Delivered(/μb) |          Selected LS | Recorded(/μb) |
|        |              |                 |  [338-348] [350-366] |                |
|        |              |                 |  [368-529] [532-544] |                |
|        |              |                 |  [546-595] [597-719] |                |
|        |              |                 |           [721-1004] |                |
|        |              |                 |          [1006-1184] |                |
| 136080 |          262 |         106.532 |  [249-250] [252-255] |          7.278 |
| 136082 |          543 |         784.392 |    [1-173] [175-422] |        686.589 |
|        |              |                 |  [477-504] [506-506] |                |
| 136087 |          354 |         413.208 |  [256-265] [267-277] |        160.500 |
|        |              |                 |  [279-310] [312-315] |                |
|        |              |                 |            [250-255] |                |
| 136088 |          403 |         999.793 | [1-3] [6-17] [19-39] |        826.231 |
|        |              |                 |      [41-47] [50-50] |                |
|        |              |                 |      [52-52] [54-63] |                |
|        |              |                 |      [65-65] [67-89] |                |
|        |              |                 |   [91-113] [115-131] |                |
|        |              |                 |  [133-137] [139-184] |                |
|        |              |                 |  [187-191] [193-194] |                |
|        |              |                 |  [196-206] [208-208] |                |
|        |              |                 |            [210-262] |                |
| 136097 |           90 |         464.152 |    [1-1] [3-3] [5-5] |        287.116 |
|        |              |                 |  [7-7] [9-9] [11-12] |                |
|        |              |                 |              [14-78] |                |
| 136098 |           24 |         123.084 |               [1-10] |         39.926 |
| 136100 |         1186 |        3510.900 |               [1-94] |        470.214 |
| 136119 |          340 |         204.961 |               [1-36] |         78.339 |
| 137027 |          199 |         204.848 |   [98-146] [149-162] |        133.227 |
|        |              |                 |            [165-187] |                |
| 137028 |          571 |        1338.206 |    [1-107] [111-157] |       1236.765 |
|        |              |                 |  [163-169] [171-180] |                |
|        |              |                 |  [184-200] [203-209] |                |
|        |              |                 |  [211-232] [234-274] |                |
|        |              |                 |  [276-338] [341-475] |                |
|        |              |                 |            [478-484] |                |
| 138564 |           18 |          68.719 |                [1-4] |         11.204 |
| 138571 |           22 |          46.684 |               [1-13] |         26.759 |
| 138572 |          238 |         273.779 |              [1-213] |        272.416 |
| 138737 |           87 |        1062.442 |               [1-66] |        767.354 |
| 138738 |           93 |        1079.233 |               [1-10] |         86.558 |
| 138739 |          185 |        1993.627 |               [1-13] |        132.251 |
| 138742 |           53 |         533.720 |       [1-20] [22-38] |        361.627 |
| 138744 |           38 |         372.212 |               [1-24] |        233.018 |
| 138745 |           16 |         155.718 |               [1-10] |         88.785 |
| 138746 |          144 |        1360.576 |              [1-129] |       1176.818 |
| 138747 |          378 |        2677.990 |      [1-71] [73-131] |       1174.804 |
| 138750 |          725 |        3118.102 |      [1-46] [49-208] |       3026.026 |
|        |              |                 |  [210-623] [626-709] |                |
| 138751 |          582 |        1691.484 |    [1-110] [112-147] |        570.407 |
| 138919 |          167 |        2010.404 |             [62-150] |       1311.004 |
| 138920 |           73 |        1283.094 |               [1-55] |        949.144 |
| 138921 |          202 |        2733.022 |    [1-165] [168-181] |       2570.935 |
|        |              |                 |            [183-191] |                |
| 138923 |           16 |         157.162 |                [1-2] |         12.797 |
| 138924 |           85 |         813.559 |               [1-62] |        578.114 |
| 138937 |           46 |         430.204 |               [1-26] |        237.791 |
| 138939 |           35 |         322.037 |               [1-26] |        229.118 |
| 139020 |          927 |        1582.355 |  [227-316] [319-617] |       1447.514 |
| 139096 |          279 |        1235.051 |  [256-267] [193-210] |        654.006 |
|        |              |                 |  [212-233] [235-236] |                |
|        |              |                 |  [239-239] [242-255] |                |
| 139098 |          200 |        2223.974 |      [1-92] [94-121] |       1881.688 |
|        |              |                 |  [123-160] [162-179] |                |
| 139100 |          315 |        3296.709 |       [1-13] [15-15] |       3055.961 |
|        |              |                 |     [17-19] [21-102] |                |
|        |              |                 |  [104-104] [106-205] |                |
|        |              |                 |            [207-307] |                |
| 139102 |          106 |         423.429 |       [1-12] [14-55] |        213.854 |
| 139103 |          488 |        1835.784 |    [7-154] [157-414] |       1638.852 |
|        |              |                 |  [416-416] [418-449] |                |
| 139195 |          198 |        1564.837 |       [9-14] [16-29] |       1010.214 |
|        |              |                 |      [31-81] [83-92] |                |
| 139239 |          554 |        2413.856 |  [164-214] [217-217] |       1766.975 |
|        |              |                 |  [219-222] [224-225] |                |
|        |              |                 |            [227-270] |                |
| 139347 |          525 |        2274.560 |  [512-515] [214-357] |       1684.863 |
|        |              |                 |            [359-511] |                |
| 139356 |          212 |        1465.819 |  [192-192] [175-186] |        175.955 |
|        |              |                 |            [188-191] |                |
| 139360 |           42 |         556.108 |               [1-30] |        389.331 |
| 139364 |           88 |        1113.748 |       [1-48] [51-72] |        851.982 |
| 139365 |          258 |        2957.981 |        [1-9] [12-14] |       2617.515 |
|        |              |                 |      [16-82] [84-84] |                |
|        |              |                 |   [86-112] [114-166] |                |
|        |              |                 |  [168-179] [181-250] |                |
| 139368 |          173 |        1825.525 |      [1-34] [36-100] |       1656.848 |
|        |              |                 |  [102-150] [152-166] |                |
| 139370 |          836 |        7887.679 |    [1-175] [177-254] |       6067.240 |
|        |              |                 |  [257-445] [447-468] |                |
|        |              |                 |  [472-504] [506-562] |                |
|        |              |                 |  [564-581] [583-619] |                |
|        |              |                 |            [622-645] |                |
| 139372 |          201 |        1535.876 |     [20-46] [48-173] |       1289.352 |
|        |              |                 |            [175-194] |                |
| 139375 |          551 |        1965.940 |               [1-47] |        313.129 |
| 139399 |          136 |        1153.417 |     [75-89] [94-107] |        422.938 |
|        |              |                 |  [109-109] [114-117] |                |
|        |              |                 |            [125-125] |                |
| 139400 |          143 |        1664.099 |               [1-22] |        244.525 |
| 139407 |         1328 |       14263.042 |   [1-976] [978-1074] |      13427.208 |
|        |              |                 |          [1076-1251] |                |
| 139411 |          377 |        1837.279 |      [4-67] [69-135] |       1274.542 |
| 139457 |           87 |         946.913 |               [1-73] |        776.701 |
| 139458 |          409 |        4275.379 |    [1-103] [107-326] |       4063.769 |
|        |              |                 |            [329-395] |                |
| 139459 |          152 |         552.866 |         [1-2] [4-55] |        533.124 |
| 140160 |          252 |        4862.311 |              [1-216] |       4157.372 |
| 140180 |           69 |        1204.206 |               [1-55] |        927.566 |
| 140181 |           42 |         729.042 |               [1-13] |        195.861 |
| 140331 |          873 |       17222.833 |  [222-544] [546-614] |      13871.020 |
|        |              |                 |  [626-626] [635-749] |                |
| 140359 |           57 |        1269.102 |       [1-35] [40-43] |        812.983 |
| 140361 |          162 |        3495.517 |              [1-151] |       3216.423 |
| 140362 |          367 |        5570.582 |              [1-354] |       5502.570 |
| 140379 |          259 |        6893.504 |            [123-244] |       4482.460 |
| 140381 |           48 |        1728.117 |              [16-37] |        749.960 |
| 140382 |          227 |        7617.529 |    [1-128] [131-214] |       7089.466 |
| 140383 |          507 |       14681.929 |    [1-276] [281-447] |      13684.672 |
|        |              |                 |            [453-487] |                |
| 140385 |          202 |        5284.808 |        [1-4] [26-30] |       3598.491 |
|        |              |                 |             [50-185] |                |
| 140386 |           54 |        1367.553 |               [1-23] |        569.441 |
| 140387 |          152 |        3678.748 |              [7-137] |       3110.306 |
| 140388 |          549 |        4754.179 |              [1-114] |       2651.648 |
| 140399 |          724 |       13628.103 |    [1-251] [257-283] |      13139.036 |
|        |              |                 |            [285-708] |                |
| 140401 |          551 |        4947.201 |              [1-266] |       4392.874 |
| 141956 |          568 |       26657.779 |  [202-445] [447-548] |      19230.703 |
| 141957 |           99 |        5263.678 |               [1-87] |       4383.057 |
| 141958 |           41 |        2128.335 |               [1-34] |       1705.218 |
| 141959 |          262 |       12977.897 |               [6-86] |       4026.959 |
| 141960 |          368 |       16707.532 |              [1-285] |      12995.040 |
| 141961 |          124 |        3477.515 |             [41-116] |       1741.197 |
| 142035 |          745 |       25109.158 |            [305-738] |      21984.860 |
| 142036 |          319 |       14379.992 |              [1-273] |      12289.327 |
| 142038 |          840 |       33748.209 |    [1-185] [187-830] |      33081.827 |
| 142039 |           19 |         707.915 |                [1-6] |        207.039 |
| 142040 |          511 |       15876.455 |              [1-341] |      12301.379 |
| 142076 |          760 |        7227.703 |  [512-536] [381-398] |       6503.550 |
|        |              |                 |            [403-511] |                |
| 142128 |          263 |        3709.766 |            [226-239] |        865.923 |
| 142129 |           67 |        4204.931 |               [1-45] |       2736.993 |
| 142130 |          823 |       43566.590 |    [1-787] [789-789] |      42616.540 |
|        |              |                 |            [791-816] |                |
| 142132 |          242 |       11087.084 |       [1-62] [64-85] |      10375.682 |
|        |              |                 |   [88-111] [113-236] |                |
| 142135 |          158 |        6948.076 |    [1-128] [130-151] |       6547.628 |
| 142136 |          234 |        9980.335 |              [1-224] |       9458.010 |
| 142137 |          847 |       25538.521 |    [1-477] [496-814] |      24676.320 |
| 142187 |          767 |       31961.630 |            [207-302] |       5551.719 |
| 142189 |          259 |       12009.793 |              [1-252] |      11612.672 |
| 142191 |          372 |       10670.159 |    [1-204] [206-363] |      10489.649 |
| 142264 |           84 |        5381.420 |               [7-62] |       3532.925 |
| 142265 |          263 |       13958.933 |              [1-187] |      10816.338 |
| 142303 |          249 |        8442.072 |            [138-229] |       5915.102 |
| 142304 |           21 |        1356.853 |               [1-11] |        612.104 |
| 142305 |          273 |       16637.298 |              [1-262] |      15825.586 |
| 142308 |           50 |        2835.653 |               [1-43] |       2345.748 |
| 142309 |          137 |        7483.681 |    [1-108] [110-110] |       5847.004 |
|        |              |                 |            [116-116] |                |
| 142311 |          645 |       30616.405 |              [1-638] |      30114.738 |
| 142312 |          357 |       14640.838 |    [1-185] [204-342] |      13210.534 |
| 142313 |          194 |        7580.445 |              [1-149] |       5779.889 |
| 142413 |          229 |        7125.030 |            [133-222] |       5491.433 |
| 142414 |          207 |       11553.112 |              [8-159] |       8450.092 |
| 142417 |           14 |         690.312 |                [1-8] |        341.156 |
| 142418 |           51 |        2480.794 |               [1-40] |       1878.667 |
| 142419 |          254 |       11468.472 |              [1-243] |      10875.088 |
| 142422 |         1342 |       43950.706 |             [1-1299] |      43168.626 |
| 142513 |          121 |       10215.172 |    [1-101] [107-107] |       8432.289 |
| 142514 |          136 |        2669.593 |              [1-124] |       2596.681 |
| 142523 |          203 |        6012.949 |            [140-197] |       4042.498 |
| 142524 |          393 |       23415.238 |    [4-306] [327-347] |      19399.445 |
| 142525 |          208 |       10679.714 |              [1-181] |       9230.657 |
| 142528 |          986 |       42475.800 |              [1-976] |      41822.189 |
| 142530 |          110 |        4157.536 |               [1-82] |       3040.470 |
| 142535 |          127 |        4652.370 |              [1-118] |       4220.037 |
| 142537 |          234 |        3744.704 |    [1-114] [139-217] |       3707.233 |
| 142557 |          245 |       10139.106 |            [118-237] |       8162.407 |
| 142558 |          440 |       16079.220 |              [1-428] |      15924.613 |
| 142657 |           16 |        1397.317 |                [1-2] |         85.037 |
| 142658 |           24 |        2050.650 |                [1-5] |        371.862 |
| 142659 |           78 |        6277.985 |               [1-64] |       4967.979 |
| 142660 |           38 |        3088.406 |               [1-16] |       1231.645 |
| 142661 |           36 |        2883.126 |               [1-17] |       1270.152 |
| 142662 |          196 |       14820.091 |              [1-186] |      13940.020 |
| 142663 |          175 |       12276.664 |              [1-167] |      11595.491 |
| 142664 |          134 |        6755.613 |               [1-80] |       5184.042 |
| 142928 |         1059 |       47768.888 |  [383-578] [617-721] |      41225.161 |
|        |              |                 |           [724-1046] |                |
| 142933 |         1088 |       51417.993 |     [1-92] [194-203] |      44031.712 |
|        |              |                 |           [228-1077] |                |
| 142935 |           66 |        2668.460 |               [1-47] |       1758.902 |
| 142936 |           83 |        1189.005 |               [1-16] |        577.386 |
| 142953 |          354 |       25414.670 |   [88-333] [342-342] |      21007.826 |
| 142954 |          250 |       19101.623 |              [1-240] |      18137.464 |
| 142970 |          277 |       15367.968 |            [124-266] |      12565.900 |
| 142971 |         1722 |      108990.062 |    [1-264] [348-353] |      63732.238 |
|        |              |                 |  [357-357] [366-669] |                |
|        |              |                 |          [1285-1294] |                |
|        |              |                 |          [1296-1701] |                |
| 143004 |          324 |       11356.526 |  [256-299] [215-255] |       6856.075 |
| 143005 |          249 |       18886.469 |              [1-239] |      17889.789 |
| 143006 |          145 |       10119.189 |              [1-117] |       8059.309 |
| 143007 |          879 |       50622.566 |              [1-294] |      18598.845 |
| 143008 |          277 |       13152.148 |  [128-155] [113-127] |       2034.899 |
| 143179 |          180 |        7398.105 |  [128-169] [113-127] |       3978.788 |
| 143181 |         1069 |       59733.991 |   [1-679] [681-1055] |      58549.114 |
| 143187 |          341 |       14990.274 |              [1-329] |      14349.063 |
| 143191 |          181 |        7415.430 |   [33-109] [111-164] |       5562.828 |
|        |              |                 |            [166-172] |                |
| 143192 |           58 |        2312.013 |               [1-48] |       1859.083 |
| 143193 |          129 |        4069.161 |               [1-76] |       2930.126 |
| 143318 |          164 |       18692.109 |  [128-157] [106-127] |       7079.072 |
| 143319 |           72 |       10719.974 |       [8-24] [27-34] |       7069.485 |
|        |              |                 |              [36-60] |                |
| 143320 |          183 |       26062.469 |              [1-171] |      24112.801 |
| 143321 |          114 |       15269.428 |       [1-46] [95-95] |       6118.496 |
| 143322 |          213 |       26744.133 |       [1-15] [30-42] |      18110.010 |
|        |              |                 |   [66-118] [130-131] |                |
|        |              |                 |            [139-202] |                |
| 143326 |          280 |       26923.628 |              [1-264] |      25240.384 |
| 143327 |          238 |       21390.836 |              [1-228] |      20380.491 |
| 143328 |          417 |       34641.065 |              [1-404] |      33413.441 |
| 143336 |          421 |       24795.586 |      [1-60] [73-226] |      17497.535 |
|        |              |                 |  [242-253] [327-385] |                |
| 143583 |          N/A |             N/A |                  N/A |            N/A |
| 143612 |          N/A |             N/A |                  N/A |            N/A |
| 143657 |         2050 |      277008.815 |  [111-210] [214-226] |     195339.207 |
|        |              |                 |  [228-229] [232-262] |                |
|        |              |                 |  [265-265] [267-267] |                |
|        |              |                 |  [269-271] [273-274] |                |
|        |              |                 |  [276-280] [282-282] |                |
|        |              |                 |  [288-308] [310-313] |                |
|        |              |                 |  [324-325] [327-506] |                |
|        |              |                 |  [513-516] [518-571] |                |
|        |              |                 |  [580-591] [604-611] |                |
|        |              |                 |  [614-619] [622-627] |                |
|        |              |                 |  [630-757] [766-767] |                |
|        |              |                 |  [776-791] [800-803] |                |
|        |              |                 |  [810-811] [814-863] |                |
|        |              |                 |  [872-879] [888-903] |                |
|        |              |                 |  [912-915] [920-925] |                |
|        |              |                 |  [930-931] [934-937] |                |
|        |              |                 |  [946-951] [956-959] |                |
|        |              |                 | [988-991] [998-1047] |                |
|        |              |                 |          [1076-1077] |                |
|        |              |                 |          [1082-1101] |                |
|        |              |                 |          [1116-1121] |                |
|        |              |                 |          [1124-1211] |                |
|        |              |                 |          [1214-1229] |                |
|        |              |                 |          [1238-1253] |                |
|        |              |                 |          [1256-1263] |                |
|        |              |                 |          [1274-1277] |                |
|        |              |                 |          [1288-1289] |                |
|        |              |                 |          [1300-1323] |                |
|        |              |                 |          [1332-1343] |                |
|        |              |                 |          [1354-1361] |                |
|        |              |                 |          [1368-1373] |                |
|        |              |                 |          [1376-1377] |                |
|        |              |                 |          [1380-1409] |                |
|        |              |                 |          [1440-1447] |                |
|        |              |                 |          [1457-1458] |                |
|        |              |                 |          [1461-1462] |                |
|        |              |                 |          [1471-1488] |                |
|        |              |                 |          [1493-1494] |                |
|        |              |                 |          [1497-1502] |                |
|        |              |                 |          [1509-1514] |                |
|        |              |                 |          [1531-1532] |                |
|        |              |                 |          [1535-1536] |                |
|        |              |                 |          [1549-1558] |                |
|        |              |                 |          [1562-1565] |                |
|        |              |                 |          [1568-1575] |                |
|        |              |                 |          [1584-1585] |                |
|        |              |                 |          [1592-1597] |                |
|        |              |                 |          [1604-1606] |                |
|        |              |                 |          [1611-1619] |                |
|        |              |                 |          [1628-1629] |                |
|        |              |                 |          [1633-1638] |                |
|        |              |                 |          [1645-1647] |                |
|        |              |                 |          [1657-1659] |                |
|        |              |                 |          [1675-1689] |                |
|        |              |                 |          [1696-1728] |                |
|        |              |                 |          [1744-1764] |                |
|        |              |                 |          [1774-1824] |                |
|        |              |                 |          [1837-1839] |                |
|        |              |                 |          [1849-1860] |                |
|        |              |                 |          [1864-1869] |                |
|        |              |                 |          [1873-1884] |                |
|        |              |                 |          [1888-1917] |                |
|        |              |                 |          [1921-1923] |                |
|        |              |                 |          [1933-1935] |                |
|        |              |                 |          [1942-1944] |                |
|        |              |                 |          [1948-1953] |                |
|        |              |                 |          [1972-1983] |                |
|        |              |                 |          [1987-2022] |                |
| 143665 |          484 |       15702.693 |       [1-37] [42-63] |       9374.239 |
|        |              |                 |      [80-81] [90-91] |                |
|        |              |                 |    [94-95] [104-105] |                |
|        |              |                 |  [114-121] [124-125] |                |
|        |              |                 |  [132-137] [140-145] |                |
|        |              |                 |            [150-305] |                |
| 143703 |          N/A |             N/A |                  N/A |            N/A |
| 143709 |          337 |           0.000 |               [1-11] |          0.000 |
| 143726 |           44 |        8757.435 |               [1-31] |       6071.602 |
| 143727 |          363 |       65962.809 |       [1-24] [27-30] |      41992.973 |
|        |              |                 |      [38-51] [63-63] |                |
|        |              |                 |      [71-73] [76-78] |                |
|        |              |                 |      [80-82] [84-84] |                |
|        |              |                 |      [86-86] [88-95] |                |
|        |              |                 |   [98-105] [112-125] |                |
|        |              |                 |  [128-135] [148-167] |                |
|        |              |                 |  [172-173] [176-177] |                |
|        |              |                 |  [180-183] [186-197] |                |
|        |              |                 |  [200-201] [212-221] |                |
|        |              |                 |  [224-245] [250-267] |                |
|        |              |                 |  [278-281] [284-287] |                |
|        |              |                 |  [298-299] [304-307] |                |
|        |              |                 |  [310-327] [336-351] |                |
|        |              |                 |            [354-355] |                |
| 143730 |           27 |        4493.318 |                [1-9] |       1371.952 |
| 143731 |          207 |        3776.008 |       [1-9] [18-186] |       2328.054 |
| 143827 |          772 |      153238.155 |       [1-59] [65-65] |     108277.017 |
|        |              |                 |      [67-71] [84-89] |                |
|        |              |                 |  [108-120] [124-127] |                |
|        |              |                 |  [132-133] [136-150] |                |
|        |              |                 |  [154-201] [203-203] |                |
|        |              |                 |  [205-217] [222-223] |                |
|        |              |                 |  [235-252] [254-256] |                |
|        |              |                 |  [266-287] [290-308] |                |
|        |              |                 |  [321-321] [324-337] |                |
|        |              |                 |  [339-339] [342-354] |                |
|        |              |                 |  [360-360] [365-365] |                |
|        |              |                 |  [367-367] [369-370] |                |
|        |              |                 |  [373-412] [418-418] |                |
|        |              |                 |  [422-422] [425-428] |                |
|        |              |                 |  [430-432] [436-477] |                |
|        |              |                 |  [492-575] [578-579] |                |
|        |              |                 |  [584-585] [590-593] |                |
|        |              |                 |  [596-603] [606-609] |                |
|        |              |                 |  [614-615] [618-621] |                |
|        |              |                 |  [626-647] [654-659] |                |
|        |              |                 |  [664-669] [675-676] |                |
|        |              |                 |  [681-705] [710-711] |                |
|        |              |                 |  [714-736] [739-763] |                |
| 143831 |           81 |       13702.792 |       [1-14] [17-30] |       7972.161 |
|        |              |                 |      [33-40] [43-52] |                |
|        |              |                 |              [57-58] |                |
| 143833 |          924 |      134010.027 |     [15-32] [35-108] |      92741.310 |
|        |              |                 |  [113-114] [119-128] |                |
|        |              |                 |  [137-160] [167-174] |                |
|        |              |                 |  [177-194] [199-224] |                |
|        |              |                 |  [229-248] [253-254] |                |
|        |              |                 |  [259-260] [263-288] |                |
|        |              |                 |  [291-292] [303-314] |                |
|        |              |                 |  [319-336] [339-342] |                |
|        |              |                 |  [349-362] [367-380] |                |
|        |              |                 |  [383-388] [407-412] |                |
|        |              |                 |  [415-420] [423-424] |                |
|        |              |                 |  [427-430] [437-440] |                |
|        |              |                 |  [445-460] [467-472] |                |
|        |              |                 |  [475-476] [481-504] |                |
|        |              |                 |  [507-538] [541-548] |                |
|        |              |                 |  [553-556] [561-574] |                |
|        |              |                 |  [577-590] [593-594] |                |
|        |              |                 |  [597-608] [611-612] |                |
|        |              |                 |  [619-620] [623-624] |                |
|        |              |                 |  [633-634] [643-644] |                |
|        |              |                 |  [649-668] [671-678] |                |
|        |              |                 |  [683-692] [695-698] |                |
|        |              |                 |  [701-704] [707-708] |                |
|        |              |                 |  [715-724] [735-756] |                |
|        |              |                 |  [777-780] [789-794] |                |
|        |              |                 |  [797-800] [805-830] |                |
|        |              |                 |  [833-836] [839-860] |                |
|        |              |                 |  [863-876] [879-880] |                |
|        |              |                 |            [883-894] |                |
| 143835 |          430 |       48476.593 |     [12-93] [96-123] |      27061.540 |
|        |              |                 |  [126-141] [146-147] |                |
|        |              |                 |  [150-151] [154-155] |                |
|        |              |                 |  [174-175] [180-181] |                |
|        |              |                 |  [184-185] [200-201] |                |
|        |              |                 |  [204-205] [214-219] |                |
|        |              |                 |  [221-221] [231-232] |                |
|        |              |                 |  [241-306] [316-324] |                |
| 143836 |          N/A |             N/A |                  N/A |            N/A |
| 143839 |          N/A |             N/A |                  N/A |            N/A |
| 143944 |          N/A |             N/A |                  N/A |            N/A |
| 143953 |          633 |      120568.136 |     [1-58] [107-112] |      90874.218 |
|        |              |                 |  [127-146] [151-151] |                |
|        |              |                 |  [153-153] [156-183] |                |
|        |              |                 |  [187-187] [190-218] |                |
|        |              |                 |  [223-250] [271-279] |                |
|        |              |                 |  [281-284] [286-304] |                |
|        |              |                 |  [314-336] [348-348] |                |
|        |              |                 |  [350-363] [365-365] |                |
|        |              |                 |  [367-367] [369-369] |                |
|        |              |                 |  [377-509] [512-549] |                |
|        |              |                 |  [552-554] [556-561] |                |
|        |              |                 |  [574-575] [577-577] |                |
|        |              |                 |  [579-604] [607-619] |                |
| 143954 |          200 |       41073.010 |      [14-39] [41-44] |      22908.868 |
|        |              |                 |     [56-67] [80-103] |                |
|        |              |                 |  [120-133] [147-147] |                |
|        |              |                 |  [149-159] [166-187] |                |
| 143955 |           82 |       16170.214 |       [9-29] [39-41] |       8185.291 |
|        |              |                 |      [43-45] [47-47] |                |
|        |              |                 |              [49-62] |                |
| 143957 |          171 |       32050.949 |        [1-7] [10-10] |       8690.578 |
|        |              |                 |    [130-132] [26-39] |                |
|        |              |                 |    [129-129] [52-52] |                |
|        |              |                 |    [54-55] [134-134] |                |
|        |              |                 |   [133-133] [96-108] |                |
|        |              |                 |  [116-118] [121-122] |                |
| 143959 |          141 |       25247.906 | [1-4] [7-24] [27-40] |      17521.742 |
|        |              |                 |      [43-58] [61-62] |                |
|        |              |                 |      [67-86] [89-94] |                |
|        |              |                 |   [99-100] [103-114] |                |
|        |              |                 |            [119-124] |                |
| 143960 |          126 |       21522.337 | [1-4] [7-18] [25-25] |      11246.054 |
|        |              |                 |      [49-64] [71-72] |                |
|        |              |                 |             [75-107] |                |
| 143961 |          343 |       54769.539 |       [9-24] [33-34] |      29957.283 |
|        |              |                 |      [37-40] [51-52] |                |
|        |              |                 |      [59-62] [65-78] |                |
